text,topic
Почти 5000 сотрудников «Связной» так и не выплатил зарплату,technology
«Мегафон» предложил абонентам заплатить побольше,technology
К системе «Антифрод» подключилось уже больше половины телекомоператоров,technology
Операторы внесут в бюджет 20 млрд рублей за LTE-частоты,technology
Операторы ищут новые способы защиты мобильных номеров от угона,technology
Мобильные операторы призвали полностью отказаться от бумажных документов,technology
Роскомнадзор выявил 43 млн оформленных с нарушением закона сим-карт,technology
В новогодние праздники зафиксирован пик использования мобильного интернета,technology
Минэнерго попросило частоты для технологических сетей LTE на предприятиях,technology
Пользователям «Билайна» стала доступна сеть 4G на маршруте следования «Сапсана»,technology
«Ростелеком» повысит цены на домашний интернет на 5%,technology
Tele2 повысит цены на связь с января более чем на 10%,technology
Комитет Госдумы по информтехнологиям рекомендовал «отменить телекомрабство»,technology
«Роснефть» запустила собственного корпоративного сотового оператора,technology
Минцифры определилось с порядком ведения единого реестра частот,technology
Tele2 просит не принимать апелляцию поставщика Ericsson,technology
Операторам могут разрешить повышать цены на связь выше уровня инфляции,technology
Треть абонентов МТС пожаловались на навязанные подписки,technology
Операторов связи начали штрафовать за неподключение к «Антифроду»,technology
Tele2 сможет использовать бренд как минимум до конца 2024 года,technology
Геймеры обновили ноутбуки и клавиатуры,technology
Мобильная связь «Миранда-медиа» стала доступна в ЛНР,technology
ФАС добилась от мобильных операторов отмены платы за раздачу интернета,technology
Донецкий мобильный оператор «Феникс» заработает во всей России,technology
Россия и Китай разошлись с США по вопросу диапазонов для 5G и WiFi 6,technology
Роскомнадзор подтвердил факт утечки данных из МТС-банка,technology
Телеканалы и операторов связи обяжут создать ИБ-подразделения,technology
«Мегафон» заключил форвардный контракт с «Булатом» на базовые станции 2G и 4G,technology
Нидерландский Veon закрыл сделку по продаже «Билайна»,technology
Все данные к 2030 году предложили собирать в единое хранилище,technology
В России резко выросла активность спамеров в сетях сотовой связи,technology
Шведские власти запретили Ericsson поставлять оборудование в Россию,technology
Почему ФАС не может затормозить рост тарифов сотовых операторов,technology
Бюджетные расходы на базовые станции сотовой связи перераспределят «КНС групп»,technology
Телекомкомпании нарастили число вакансий и увеличили зарплаты,technology
ФАС обязала мобильных операторов отменить платную раздачу интернета с устройств,technology
«Сибур» хочет построить собственную сеть связи,technology
ФАС выступила против индексации цен на связь выше уровня инфляции,technology
Сделка по продаже «Билайна» стала безденежной,technology
Минцифры прекратило лицензировать пейджинговую связь,technology
Суд частично удовлетворил иск Tele2 к поставщику оборудования Ericsson,technology
Госфинансирование технологий LTE и 5G могут сократить на 35%,technology
Россияне распробовали виртуальные сим-карты,technology
Россияне стали чаще подключать блокираторы спам-звонков,technology
Роскомнадзор не смог приобрести оборудование для контроля связи на 1 млрд рублей,technology
«Мегафон» поменял схему оплаты сотрудников своего ритейла,technology
В ДНР начали собирать данные о повреждениях сетей связи в ходе боевых действий,technology
Минцифры готово разрешить сотовым операторам повышать тарифы выше инфляции,technology
«Яндекс» оплатит «Билайну» роуминг для самокатов,technology
«Ростелеком» попробовал заменить оборудование Nokia на российскую технику от Т8,technology
"Правительство дает 3,4 млрд рублей на производство базовых станций мобильной связи",technology
Роскомнадзор уже в августе может заблокировать до 7 млн серых сим-карт,technology
Роскомнадзор увеличивает мощность системы «Антифрод» вдвое,technology
МТС и «Мегафон» пока могут не исполнять требование ФАС снизить тарифы,technology
Сотовые операторы пожаловались главе Подмосковья на сложности с установкой вышек связи,technology
«Билайн» осенью протестирует первые отечественные базовые станции 4G в реальных условиях,technology
Крупные телекомоператоры ДНР и ЛНР начали устанавливать СОРМ,technology
МТС вводит комиссию за пополнение баланса домашнего интернета и ТВ,technology
Капвложения операторов связи показали рекордное падение с кризиса 2008 года,technology
Абонентам спутникового ТВ МТС отключают вещание российских каналов,technology
Спутниковый оператор «Газпром космические системы» начнет работу в новых регионах,technology
Структура Роскомнадзора создает систему контроля качества связи,technology
«Создание литографа сродни созданию атомной бомбы»,technology
WiFi догнал сотовую связь по интернет-трафику,technology
«Миранда-медиа» официально заработала в ДНР,technology
«Билайн» продал бизнес в Казахстане за 54 млрд рублей,technology
Иностранные сервисы онлайн-конференций теряют популярность,technology
Интернет-провайдеры ЛНР пожаловались в ФАС на монополию «Лугакома»,technology
К сносу сотовых вышек у школ хотят привлечь Минцифры,technology
МТС начнет брать деньги с абонентов за раздачу интернета,technology
Роскомнадзор будет контролировать хранение данных в сетях предприятий,technology
Крымский оператор связи «Миранда-медиа» вслед за ДНР заходит и в ЛНР,technology
МТС теряет яйцо,technology
"Россия отменит международный роуминг с Казахстаном, Киргизией и Арменией в 2025 году",technology
Tele2 может использовать этот бренд и по истечении соглашения со шведским правообладателем,technology
В ДНР начали подготовку к внедрению СОРМ на сетях связи,technology
Оборотные штрафы за отсутствие СОРМ могут сократить число операторов,technology
Правительство определило сроки введения бесплатных телекомуслуг на новых территориях,technology
Euroclear и Clearstream могут привлечь к рассмотрению иска к «Билайну»,technology
Телекомоператоры ДНР начали блокировать сервисы Google и Zoom,technology
Решение вопроса о доступе интернет-провайдеров в дома могут передать жильцам,technology
Столичные провайдеры подняли цены на домашний интернет на 10%,technology
Регуляторы так и не приступили к согласованию продажи «Билайна»,technology
МТС начала уведомлять абонентов о подорожании услуг,technology
Отечественной 4G-связью в 2025 году смогут воспользоваться 6 млн человек,technology
Операторы начали уведомлять абонентов о повышении тарифов на связь в 2023 году,technology
«Мегафон» и «Ростелеком» заключили форвардные контракты на российские базовые станции GSM и LTE,technology
Сайты с нелегальной продажей алкоголя стали активнее блокировать,technology
Абоненты мобильных операторов «большой четверки» смогут дозвониться до новых регионов,technology
К «Билайну» выстраивается очередь кредиторов,technology
