text,topic
Налоговики усилили контроль за трудоустройством самозанятых,economy
Налоговики начали штрафовать за получение арендных платежей на иностранные счета,economy
Россия предложила Катару и Саудовской Аравии пересмотреть налоговые соглашения,economy
Windfall tax станет основой модели для нового налога на прибыль,economy
ФНС заинтересовалась двойным гражданством и ВНЖ россиян,economy
В правительстве договорились об исключениях из курсовой пошлины,economy
Владельцам КИК продлят льготу по НДФЛ при переоформлении на себя активов,economy
Малый бизнес пожаловался в Минфин на рост пеней из-за ключевой ставки,economy
Почему бизнес стал чаще пользоваться налоговыми рассрочками,economy
ФНС назвала сумму ошибочных платежей после перехода на Единый налоговый счет,economy
Бизнес попросил освободить малые НПЗ от заградительной пошлины,economy
Экспортеры получили инструкции по продаже валютной выручки,economy
56 регионов потеряли 300 млрд рублей из-за отмены режима для групп компаний,economy
Бизнес сообщил о «круговороте рублей» из-за новых правил возврата выручки,economy
Бизнес предложил властям поменять тактику по налогам на ближайшие годы,economy
Бизнес и регионы раскритиковали инициативу ужесточить правила ТОР и ОЭЗ,economy
В Минфине назвали пять приоритетов в борьбе с налогоплательщиками-уклонистами,economy
Власти хотят увеличить штрафы за вывод прибыли через внутригрупповые сделки,economy
Минпромторг предложил вывести из-под курсовой пошлины ряд экспортеров,economy
Минфин назвал условия для соглашений по налогам с нейтральными странами,economy
"«Если вы говорите о минимизации налогов, у меня сразу возникают вопросы»",economy
Минфин вернулся к идее начисления налога на имущество бизнеса по кадастру,economy
Горно-металлургическая отрасль сочла повышенной налоговую нагрузку,economy
Минфин предложил сократить льготы для нефтяников по НДД,economy
В Минфине спрогнозировали рост поступлений налогов на 14% в следующем году,economy
За восемь месяцев самозанятые заработали 829 млрд рублей,economy
Минэнерго ожидает улучшения ситуации на топливном рынке «в ближайшее время»,economy
В Госдуме предложили разрешить выплату зарплат при блокировке счета,economy
Экспортеры нефти могут попасть под «ножницы Кудрина» в связи с волатильностью курса,economy
Что изменится для бизнеса в результате частичной приостановки налоговых соглашений,economy
Минфин зафиксировал обеление общепита из-за обнуления НДС,economy
Россия повысила пошлины на импорт вин из недружественных стран,economy
Переплаты на ЕНС можно будет получать по наследству,economy
В правительстве усомнились в эффективности курортного сбора,economy
Минфин и ФНС решили расширить режим налогового мониторинга,economy
Расходы бюджета на единое пособие для семей с детьми вырастут на 35% в ближайшие два года,economy
Корпорация МСП предложила снизить штрафы для микробизнеса за неуплату долга в 10 раз,economy
К чему приведет введение акцизов на весь этиловый спирт,economy
Сборы с состоятельных россиян в бюджетную систему превысили 1 трлн рублей,economy
Депутаты без энтузиазма приняли в первом чтении законопроект о windfall tax,economy
